player_name,tournaments,batting_runs,batting_balls,batting_innings,batting_average,batting_strike_rate,batting_fours,batting_sixes,bowling_wickets,bowling_runs,bowling_overs,bowling_economy,catches,stumpings,run_outs
AAP Atkinson,"ntb,tests,odis",603,676,49,17.23,89.2,63,17,132,3150,617.3,5.1,0,0,0
SJ Mullaney,ntb,1340,942,95,17.4,142.25,119,59,95,2606,326.3,7.99,0,0,0
RD Berrington,"it20s,odis",2952,3722,96,36.9,79.31,205,78,14,637,126.2,5.05,0,0,0
JA Thompson,"bbl,psl,ntb",1070,673,77,18.77,158.99,55,79,108,2597,284.5,9.13,0,0,0
Taskin Ahmed,"it20s,tests,odis",479,929,65,9.58,51.56,42,11,137,4737,1061.5,4.46,0,0,0
IA Cockbain,"bbl,psl,ntb",3193,2363,114,34.33,135.12,273,110,0,0,0.0,0.0,0,0,0
P Utseya,"tests,odis",1166,2051,103,18.22,56.85,82,11,101,5091,1135.7,4.48,0,0,0
CS Delport,"bbl,cpl,psl,ntb",2564,1911,112,24.65,134.17,252,109,31,860,106.7,8.06,0,0,0
A Vala,"it20s,odis",2104,2775,68,31.4,75.82,174,40,54,1488,358.0,4.16,0,0,0
BA Carse,"ntb,tests,odis",1143,1100,76,19.05,103.91,74,49,102,3621,677.8,5.34,0,0,0
Haris Sohail,"psl,tests,odis",2700,4071,80,37.5,66.32,220,43,24,892,206.0,4.33,0,0,0
MRJ Watt,"ntb,odis",774,935,62,18.43,82.78,60,18,120,3694,756.2,4.89,0,0,0
SS Cottrell,"ipl,cpl,psl,tests,odis",281,291,50,8.03,96.56,19,17,144,3864,591.8,6.53,0,0,0
Inzamam-ul-Haq,"tests,odis",3160,4737,98,37.62,66.71,321,28,0,0,0.0,0.0,0,0,0
SR Clark,"tests,odis",316,441,36,13.17,71.66,28,7,142,3599,1142.3,3.15,0,0,0
CJ Ferguson,"ipl,bbl,ntb,tests,odis",3153,2815,133,28.93,112.01,280,49,0,0,0.0,0.0,0,0,0
Abdur Rehman,"psl,ntb,tests,odis",537,1161,54,11.93,46.25,57,11,130,4253,1428.7,2.98,0,0,0
SE Rutherford,"ipl,bbl,cpl,psl,odis",2971,2358,136,26.77,126.0,196,187,8,396,43.7,9.07,0,0,0
R McLaren,"ipl,ntb,tests,odis",947,1124,69,22.55,84.25,86,16,108,3040,537.2,5.66,0,0,0
Saim Ayub,"cpl,psl,tests,odis",2546,2402,84,31.43,106.0,253,104,28,889,146.7,6.06,0,0,0
TMJ Smith,ntb,221,201,43,14.73,109.95,15,2,144,3158,421.7,7.49,0,0,0
RJW Topley,"ipl,bbl,ntb,odis",75,125,29,9.38,60.0,3,3,151,3575,512.5,6.98,0,0,0
Mohammad Irfan,"cpl,psl,tests,odis",88,261,48,3.83,33.72,11,2,150,4485,869.0,5.16,0,0,0
M Raj,"tests,odis",3085,4620,77,54.12,66.77,316,13,0,0,0.0,0.0,0,0,0
CF Parkinson,ntb,281,306,57,10.81,91.83,20,0,140,3170,419.8,7.55,0,0,0
KA Jamieson,"ipl,psl,ntb,tests,odis",639,981,48,19.36,65.14,54,18,122,2939,812.5,3.62,0,0,0
SNJ O'Keefe,"bbl,tests",398,724,49,12.44,54.97,39,5,134,3219,705.2,4.56,0,0,0
N Rana,"ipl,odis",2845,2093,113,27.36,135.93,259,140,10,276,35.0,7.89,0,0,0
MG Erasmus,"it20s,odis",2076,2724,66,34.03,76.21,164,45,48,1228,276.8,4.44,0,0,0
A Sutherland,"tests,odis",1566,2007,42,50.52,78.03,168,18,73,1620,388.5,4.17,0,0,0
KM Jadhav,"ipl,odis",2502,2237,130,29.44,111.85,235,63,26,971,190.8,5.09,0,0,0
MG Bracewell,"ipl,psl,ntb,tests,odis",1407,1483,68,26.06,94.88,134,50,80,2911,594.5,4.9,0,0,0
NA Sowter,"cpl,ntb",225,201,40,9.78,111.94,21,3,139,3156,416.3,7.58,0,0,0
KMA Paul,"ipl,bbl,cpl,tests,odis",1164,1030,87,17.91,113.01,81,65,92,2793,417.8,6.68,0,0,0
M Theekshana,"ipl,cpl,tests,odis",384,766,46,13.71,50.13,26,4,131,3438,661.2,5.2,0,0,0
AJ Hall,"tests,odis",901,1615,48,23.1,55.79,95,9,105,2906,726.0,4.0,0,0,0
CBRLS Kumara,"tests,odis",189,587,65,4.72,32.2,28,1,140,5043,1161.0,4.34,0,0,0
Mohammad Asif,"ipl,tests,odis",148,465,45,4.35,31.83,17,0,142,3845,1078.7,3.56,0,0,0
JW Wells,"bbl,psl",2985,2462,125,33.92,121.24,241,54,0,16,2.0,8.0,0,0,0
KJ Abbott,"ipl,psl,ntb,tests,odis",322,576,45,8.94,55.9,26,7,133,3706,770.2,4.81,0,0,0
Sandeep Sharma,ipl,59,74,26,9.83,79.73,4,0,146,3990,507.5,7.86,0,0,0
Mohammad Rafique,"tests,odis",956,1483,81,14.27,64.46,90,28,101,4382,1216.7,3.6,0,0,0
